fill	x	y	clickSelects.variable	clickSelects.value	showSelected1	PANEL
#0000FF	1.40607249932145e-06	38.2684068944904	xgboost	72	xgboost	1
#0000FF	1.47650825965684e-06	38.965826442164	xgboost	71	xgboost	1
#0000FF	1.5574245821881e-06	39.6333565806516	xgboost	70	xgboost	1
#0000FF	1.62077861887155e-06	40.3606655375112	xgboost	69	xgboost	1
#0000FF	1.66889952879501e-06	41.1079007671615	xgboost	68	xgboost	1
#0000FF	1.73710759554524e-06	41.7654677692538	xgboost	67	xgboost	1
#0000FF	1.8121710354535e-06	42.363255952974	xgboost	66	xgboost	1
#0000FF	1.87498102377503e-06	43.0008966822756	xgboost	65	xgboost	1
#0000FF	1.95128740188011e-06	43.7182425027399	xgboost	64	xgboost	1
#0000FF	2.02750300104526e-06	44.3359569592508	xgboost	63	xgboost	1
#0000FF	2.08974677207152e-06	45.0433396433197	xgboost	62	xgboost	1
#0000FF	2.15843033402052e-06	45.7806117365747	xgboost	61	xgboost	1
#0000FF	2.26088889121456e-06	46.3584736475043	xgboost	60	xgboost	1
#0000FF	2.38392692608613e-06	47.0658563315732	xgboost	59	xgboost	1
#0000FF	2.49827098741662e-06	47.7931652884328	xgboost	58	xgboost	1
#0000FF	2.60265187534969e-06	48.4507322905251	xgboost	57	xgboost	1
#0000FF	2.70135763003054e-06	49.0784098834313	xgboost	56	xgboost	1
#0000FF	2.80823769571725e-06	49.7060874763375	xgboost	55	xgboost	1
#0000FF	2.91421781639656e-06	50.3536913420345	xgboost	54	xgboost	1
#0000FF	3.02667092455522e-06	51.2204842084288	xgboost	53	xgboost	1
#0000FF	3.15187946853257e-06	51.7883829829631	xgboost	52	xgboost	1
#0000FF	3.28956707562611e-06	52.3562817574973	xgboost	51	xgboost	1
#0000FF	3.43566932770045e-06	52.9739962140082	xgboost	50	xgboost	1
#0000FF	3.57093824732147e-06	53.6315632161004	xgboost	49	xgboost	1
#0000FF	3.70169436791912e-06	54.3090564909834	xgboost	48	xgboost	1
#0000FF	3.83305621198815e-06	55.0164391750523	xgboost	47	xgboost	1
#0000FF	3.97603298551985e-06	55.6740061771446	xgboost	46	xgboost	1
#0000FF	4.13230827689404e-06	56.2219786788881	xgboost	45	xgboost	1
#0000FF	4.32111369264021e-06	56.9193982265617	xgboost	44	xgboost	1
#0000FF	4.54109022030025e-06	57.5968915014447	xgboost	43	xgboost	1
#0000FF	4.75103138342092e-06	58.2644216399323	xgboost	42	xgboost	1
#0000FF	4.9482791837363e-06	58.8721729600478	xgboost	41	xgboost	1
#0000FF	5.14728981215739e-06	59.5895187805121	xgboost	40	xgboost	1
#0000FF	5.38237759428739e-06	60.2171963734184	xgboost	39	xgboost	1
#0000FF	5.65065056434833e-06	60.8349108299293	xgboost	38	xgboost	1
#0000FF	5.91184152654023e-06	61.3729201952775	xgboost	37	xgboost	1
#0000FF	6.20502169113024e-06	62.0404503337651	xgboost	36	xgboost	1
#0000FF	6.53859638077847e-06	62.688054199462	xgboost	35	xgboost	1
#0000FF	6.89877015247476e-06	63.2360267012055	xgboost	34	xgboost	1
#0000FF	7.32217995391693e-06	63.7541097937631	xgboost	33	xgboost	1
#0000FF	7.72383395997167e-06	64.3518979774833	xgboost	32	xgboost	1
#0000FF	8.12749885881203e-06	65.0493175251569	xgboost	31	xgboost	1
#0000FF	8.59629835758823e-06	65.6769951180632	xgboost	30	xgboost	1
#0000FF	9.14183601707918e-06	66.2747833017834	xgboost	29	xgboost	1
#0000FF	9.7852657745534e-06	66.8327189399223	xgboost	28	xgboost	1
#0000FF	1.04255514088436e-05	67.4803228056192	xgboost	27	xgboost	1
#0000FF	1.10781088551448e-05	68.0183321709674	xgboost	26	xgboost	1
#0000FF	1.19107239697769e-05	68.6460097638737	xgboost	25	xgboost	1
#0000FF	1.28875790323946e-05	69.1441665836405	xgboost	24	xgboost	1
#0000FF	1.38246277856524e-05	69.7319916309654	xgboost	23	xgboost	1
#0000FF	1.49281218000397e-05	70.2401115871276	xgboost	22	xgboost	1
#0000FF	1.62023388838861e-05	70.7781209524759	xgboost	21	xgboost	1
#0000FF	1.76274261320941e-05	71.256351499452	xgboost	20	xgboost	1
#0000FF	1.93885362023138e-05	71.7246189100329	xgboost	19	xgboost	1
#0000FF	2.13559042094857e-05	72.3323702301484	xgboost	18	xgboost	1
#0000FF	2.35952020375407e-05	72.9002690046827	xgboost	17	xgboost	1
#0000FF	2.61153436440509e-05	73.4382783700309	xgboost	16	xgboost	1
#0000FF	2.92261856884579e-05	74.0360665537511	xgboost	15	xgboost	1
#0000FF	3.32239469571505e-05	74.59400219189	xgboost	14	xgboost	1
#0000FF	3.7981384593877e-05	75.2017535120056	xgboost	13	xgboost	1
#0000FF	4.36868576798588e-05	75.6202052406098	xgboost	12	xgboost	1
#0000FF	5.06306550960289e-05	76.0785095147953	xgboost	11	xgboost	1
#0000FF	5.92889755353098e-05	76.6364451529342	xgboost	10	xgboost	1
#0000FF	7.10295171302278e-05	77.2043439274684	xgboost	9	xgboost	1
